InChIKey,Height,Area,RT,Actual RT,RT Delta,m/z (Expected),m/z (Apex),m/z (Delta) (ppm),"Integration Mode (Manual 0, Method 1)","PK (Fail 0, Pass 1)","Confirm (Confirmed 1, Not Found 0)"
WFDXOXNFNRHQEC-GHRIWEEISA-N,48862,96920,17.94,17.86,-0.08,404.12,404.12,-0.04,1,1,1
CJPQIRJHIZUAQP-UHFFFAOYSA-N,36247,461738,19.6,19.72,0.12,326.18,326.18,0.87,0,1,1
LJOZMWRYMKECFF-UHFFFAOYSA-N,0,0,17.7,0,0,323.99,0,0,1,0,0
PFJJMJDEVDLPNE-UHFFFAOYSA-N,19324,116819,18.32,18.24,-0.08,260.02,260.02,0.57,1,1,1
RRNIZKPFKNDSRS-UHFFFAOYSA-N,0,0,19.35,0,0,398.07,0,0,1,0,0
ZOMSMJKLGFBRBS-UHFFFAOYSA-N,0,0,16.82,0,0,241.06,0,0,1,0,0
HUMNYLRZRPPJDN-UHFFFAOYSA-N,0,0,18.02,0,0,107.05,0,0,0,0,0
NWBJYWHLCVSVIJ-UHFFFAOYSA-N,18332,29118,17.85,17.61,-0.24,226.11,226.11,-1.29,1,1,1
ZXDDPOHVAMWLBH-UHFFFAOYSA-N,35199,166417,16.94,17,0.06,215.07,215.07,1.26,1,1,1
WXNRYSGJLQFHBR-UHFFFAOYSA-N,0,0,14.31,0,0,247.06,0,0,1,0,0
HOERQTQCTISLFR-UHFFFAOYSA-N,1603,6230,20.6,20.8,0.20,364.09,364.09,-0.99,1,1,1
SLCGUGMPSUYJAY-UHFFFAOYSA-N,3744,8370,20.05,20.19,0.14,366.07,366.07,0.91,1,1,1
SESFRYSPDFLNCH-UHFFFAOYSA-N,0,0,19.78,0,0,213.09,0,0,0,0,0
NGHOLYJTSCBCGC-VAWYXSNFSA-N,0,0,20.29,0,0,239.11,0,0,0,0,0
ZCTQGTTXIYCGGC-UHFFFAOYSA-N,0,0,20.23,0,0,229.09,0,0,0,0,0
FVUGZKDGWGKCFE-UHFFFAOYSA-N,0,0,22.93,0,0,235.21,0,0,0,0,0
IIBYAHWJQTYFKB-UHFFFAOYSA-N,0,0,16.62,0,0,362.12,0,0,1,0,0
LKJPYSCBVHEWIU-UHFFFAOYSA-N,0,0,17.07,0,0,431.07,0,0,1,0,0
IUSYSZLVZMUVDO-UHFFFAOYSA-N,0,0,20.87,0,0,327.98,0,0,1,0,0
VHYCDWMUTMEGQY-UHFFFAOYSA-N,233310,742032,10.89,10.89,0.00,326.23,326.23,0.36,1,1,1
LCFVJGUPQDGYKZ-UHFFFAOYSA-N,0,0,19.33,0,0,341.17,0,0,0,0,0
VPWNQTHUCYMVMZ-UHFFFAOYSA-N,0,0,13.33,0,0,251.04,0,0,1,0,0
VGPIBGGRCVEHQZ-UHFFFAOYSA-N,51240,322000,18.73,18.79,0.06,338.19,338.19,0.12,1,1,1
WYEMLYFITZORAB-UHFFFAOYSA-N,0,0,18.36,0,0,343.04,0,0,1,0,0
IXVMHGVQKLDRKH-KNBKMWSGSA-N,0,0,15.96,0,0,481.35,0,0,1,0,0
ORDKAVSHIKNMAN-XYOKQWHBSA-N,0,0,19.64,0,0,402.93,0,0,1,0,0
HJJVPARKXDDIQD-UHFFFAOYSA-N,0,0,18.07,0,0,375.96,0,0,1,0,0
HJJVPARKXDDIQD-UHFFFAOYSA-N,0,0,18.65,0,0,375.96,0,0,1,0,0
OWYLAEYXIQKAOL-UHFFFAOYSA-N,14895,71597,10.5,10.51,0.01,308.19,308.19,2.91,1,1,1
DSKJPMWIHSOYEA-UHFFFAOYSA-N,25464,40447,16.7,16.6,-0.10,317.16,317.16,-0.98,1,1,1
LEBVLXFERQHONN-UHFFFAOYSA-N,0,0,10.68,0,0,289.23,0,0,1,0,0
PRLVTUNWOQKEAI-SAPNQHFASA-N,44186,681995,19.82,19.96,0.14,306.16,306.16,0.57,0,1,1
QWCRAEMEVRGPNT-UHFFFAOYSA-N,0,0,11.01,0,0,386.26,0,0,0,0,0
HKPHPIREJKHECO-UHFFFAOYSA-N,545,2823,21.36,21.32,-0.04,312.17,312.17,1.19,1,1,1
BYYMILHAKOURNM-UHFFFAOYSA-N,0,0,17.42,0,0,237.08,0,0,1,0,0
IRIAEXORFWYRCZ-UHFFFAOYSA-N,1420,7999,20.79,20.82,0.03,313.14,313.14,1.15,1,1,1
