InChIKey,Height,Area,RT,Actual RT,RT Delta,m/z (Expected),m/z (Apex),m/z (Delta) (ppm),"Integration Mode (Manual 0, Method 1)","PK (Fail 0, Pass 1)","Confirm (Confirmed 1, Not Found 0)"
OQZCSNDVOWYALR-UHFFFAOYSA-N,0,0,18.9,0,0,312.02,0,0,1,0,0
YWBVHLJPRPCRSD-UHFFFAOYSA-N,20565,107729,17.49,17.4,-0.09,330.11,330.11,1.44,0,1,1
NYRMIJKDBAQCHC-UHFFFAOYSA-N,17253,27406,17.66,17.63,-0.03,334.1,334.11,1.77,1,1,1
FQKUGOMFVDPBIZ-UHFFFAOYSA-N,104118,418312,18.47,18.43,-0.04,316.11,316.11,0.95,1,1,1
ZCNQYNHDVRPZIH-JXAWBTAJSA-N,11318,40874,19.44,19.54,0.10,404.03,404.03,0.78,1,1,1
PTCGDEVVHUXTMP-UHFFFAOYSA-N,7179,19824,18.75,18.77,0.02,324.12,324.12,0.71,1,1,1
JWUCHKBSVLQQCO-UHFFFAOYSA-N,71540,408902,14.21,14.31,0.10,302.11,302.11,2.64,1,1,1
JWUCHKBSVLQQCO-UHFFFAOYSA-N,44381,286096,15.84,15.71,-0.13,302.11,N/A,0,1,1,1
FRLZQXRXIKQFNS-UHFFFAOYSA-N,0,0,19.25,0,0,155.11,0,0,0,0,0
BGZZWXTVIYUUEY-UHFFFAOYSA-N,0,0,19.78,0,0,439,0,0,1,0,0
KVGLBTYUCJYMND-UHFFFAOYSA-N,0,0,20.43,0,0,247.04,0,0,1,0,0
GPXLRLUVLMHHIK-UHFFFAOYSA-N,20874,86720,16.25,16.61,0.36,248.06,248.06,-0.5,0,1,1
CIEXPHRYOLIQQD-UHFFFAOYSA-N,211483,2146809,17.6,17.56,-0.04,302.14,302.14,0.48,1,1,1
HAWJXYBZNNRMNO-UHFFFAOYSA-N,1865,4267,21.11,21.29,0.18,383.16,383.16,0.54,1,1,1
QTDRLOKFLJJHTG-UHFFFAOYSA-N,49869,380664,19.63,19.77,0.14,252.16,252.16,0.92,1,1,1
ZZUFCTLCJUWOSV-UHFFFAOYSA-N,0,0,14.91,0,0,331.02,0,0,1,0,0
UGJMXCAKCUNAIE-UHFFFAOYSA-N,0,0,8.95,0,0,172.13,0,0,0,0,0
LCZYWDBISQLZSE-UHFFFAOYSA-N,0,0,22.58,0,0,235.21,0,0,0,0,0
TZBJGXHYKVUXJN-UHFFFAOYSA-N,0,0,15.01,0,0,271.06,0,0,1,0,0
HIGQPQRQIQDZMP-DHZHZOJOSA-N,0,0,15.12,0,0,197.15,0,0,0,0,0
CJJOSEISRRTUQB-UHFFFAOYSA-N,0,0,17.87,0,0,318.01,0,0,1,0,0
LVASCWIMLIKXLA-CABCVRRESA-N,0,0,10.93,0,0,414.02,0,0,1,0,0
MIJLZGZLQLAQCM-UHFFFAOYSA-N,353,1108,20.71,20.91,0.20,434.1,N/A,0,1,1,1
MFSWTRQUCLNFOM-UHFFFAOYSA-N,977,1551,20.28,20.42,0.14,376.06,376.06,-0.36,1,1,1
ZYKTVGBIPJBZCN-UHFFFAOYSA-N,86649,686825,16.71,16.6,-0.11,251.02,251.02,0.56,1,1,1
CAWXEEYDBZRFPE-UHFFFAOYSA-N,0,0,14.41,0,0,253.17,0,0,1,0,0
HEFNNWSXXWATRW-UHFFFAOYSA-N,268786,1654838,18.56,18.25,-0.31,207.14,207.14,1.37,0,1,1
QLHULAHOXSSASE-UHFFFAOYSA-N,627728,10921986,16.26,16.28,0.02,230.18,230.18,0.7,1,1,1
PZBPKYOVPCNPJY-UHFFFAOYSA-N,55756,203320,12.1,11.76,-0.34,297.06,N/A,0,0,1,1
WXUNXXKSYBUHMK-UHFFFAOYSA-N,122883,626608,19.94,20.07,0.13,289.15,289.15,-1.82,0,1,1
CABMTIJINOIHOD-UHFFFAOYSA-N,80571,376365,15.21,15.21,0.00,312.13,312.13,0.02,1,1,1
UEQZFAGVRGWPDK-UHFFFAOYSA-N,0,0,9.16,0,0,211.07,0,0,0,0,0
CGIGDMFJXJATDK-UHFFFAOYSA-N,0,0,18.26,0,0,358.08,0,0,1,0,0
FCOAHACKGGIURQ-UHFFFAOYSA-N,188275,925378,18.79,18.79,0.00,289.1,289.1,0.19,1,1,1
HDHLIWCXDDZUFH-UHFFFAOYSA-N,0,0,16.57,0,0,254.14,0,0,1,0,0
XRHGWAGWAHHFLF-UHFFFAOYSA-N,88215,582053,19.36,19.45,0.09,314.05,314.05,0.49,1,1,1
XPJVKCRENWUEJH-UHFFFAOYSA-N,68275,434086,17.24,17.16,-0.08,195.1,195.1,1.68,1,1,1
IUSBVFZKQJGVEP-SNAWJCMRSA-N,107739,1562784,18.1,18.34,0.24,207.1,207.1,1.29,0,1,1
HOQADATXFBOEGG-UHFFFAOYSA-N,6735,26255,20.59,20.78,0.19,346.12,346.12,0.23,1,1,1
JRJBVWJSTHECJK-PKNBQFBNSA-N,0,0,19.38,0,0,207.17,0,0,0,0,0
QBSJMKIUCUGGNG-UHFFFAOYSA-N,176562,2197955,17,16.94,-0.06,194.12,194.12,1.38,1,1,1
UFHLMYOGRXOCSL-UHFFFAOYSA-N,143800,1010023,18.95,19.01,0.06,291.07,291.07,0.84,1,1,1
PUIYMUZLKQOUOZ-UHFFFAOYSA-N,20849,33118,16.62,16.58,-0.04,207.15,207.15,0.86,1,1,1
PMHURSZHKKJGBM-UHFFFAOYSA-N,20974,75051,18.43,18.44,0.01,333.18,333.18,0.82,1,1,1
DKYWVDODHFEZIM-UHFFFAOYSA-N,112098,443387,16.51,16.46,-0.05,255.1,255.1,0.39,1,1,1
ZOTBXTZVPHCKPN-HTXNQAPBSA-N,4896,7777,19.46,19.44,-0.02,314.14,314.14,0.36,1,1,1
PYZRQGJRPPTADH-UHFFFAOYSA-N,0,0,10.09,0,0,256.02,0,0,1,0,0
XKJMBINCVNINCA-UHFFFAOYSA-N,0,0,18.11,0,0,249.02,0,0,1,0,0
JCCNYMKQOSZNPW-UHFFFAOYSA-N,290714,1398870,14.36,14.29,-0.07,383.15,383.15,1.41,1,1,1
PSIFNNKUMBGKDQ-UHFFFAOYSA-N,0,0,15.34,0,0,423.17,0,0,1,0,0
WSORODGWGUUOBO-UHFFFAOYSA-N,0,0,15.46,0,0,315.07,0,0,1,0,0
JXSJBGJIGXNWCI-UHFFFAOYSA-N,25707,110245,18.71,18.76,0.05,331.04,331.04,0.17,1,1,1
KWLVWJPJKJMCSH-UHFFFAOYSA-N,0,0,17.96,0,0,412.13,0,0,1,0,0
WHKUVVPPKQRRBV-UHFFFAOYSA-N,0,0,16.66,0,0,201.03,0,0,1,0,0
LLWADFLAOKUBDR-UHFFFAOYSA-N,0,0,17.55,0,0,229.06,0,0,1,0,0
OPXLLQIJSORQAM-UHFFFAOYSA-N,22562,35838,14.42,14.23,-0.19,296.1,296.1,-0.53,1,1,1
KLGMSAOQDHLCOS-UHFFFAOYSA-N,16876,37737,19.26,19.33,0.07,330.06,330.06,0.08,1,1,1
WNTGYJSOUMFZEP-UHFFFAOYSA-N,0,0,17.12,0,0,215.05,0,0,1,0,0
GZENKSODFLBBHQ-ILSZZQPISA-N,88347,1194572,18.24,18.28,0.04,345.24,345.24,1.18,1,1,1
XIGAUIHYSDTJHW-UHFFFAOYSA-N,56030,271127,18.33,18.33,0.00,299.08,299.08,0.3,1,1,1
OPGCOAPTHCZZIW-UHFFFAOYSA-N,18686,81795,20.23,20.42,0.19,373.07,373.07,0.7,1,1,1
CIFWZNRJIBNXRE-UHFFFAOYSA-N,184774,2255039,18.96,18.95,-0.01,224.12,224.12,0.77,1,1,1
LTQSAUHRSCMPLD-UHFFFAOYSA-N,0,0,14.71,0,0,270.04,0,0,1,0,0
BCTQJXQXJVLSIG-UHFFFAOYSA-N,44759,395561,18.78,18.82,0.04,270.15,270.15,0.47,1,1,1
ZQEIXNIJLIKNTD-UHFFFAOYSA-N,209543,3000064,16.24,16.18,-0.06,280.15,280.15,0.21,1,1,1
ZRIKZVLHMGYCIR-NSHDSACASA-N,209543,3000064,16.25,16.18,-0.07,280.15,280.15,0.21,1,1,1
ZRIKZVLHMGYCIR-NSHDSACASA-N,102502,772649,14.43,14.46,0.03,266.14,266.14,0.77,1,1,1
ZQEIXNIJLIKNTD-GFCCVEGCSA-N,202161,3246712,16.24,16.18,-0.06,280.15,280.15,0.21,0,1,1
STEPQTYSZVCJPV-UHFFFAOYSA-N,17121,27195,17.1,17.03,-0.07,278.11,278.11,1.31,1,1,1
XWPZUHJBOLQNMN-UHFFFAOYSA-N,43263,207990,19,19.08,0.08,320.15,320.15,1.1,1,1,1
RRVIAQKBTUQODI-UHFFFAOYSA-N,0,0,16.18,0,0,222.07,0,0,1,0,0
ZWJNEYVWPYIKMB-UHFFFAOYSA-N,48878,352720,18.02,17.82,-0.20,230.12,230.12,-2.68,0,1,1
DDUIUBPJPOKOMV-UHFFFAOYSA-N,0,0,14.34,0,0,272.15,0,0,1,0,0
QCAWEPFNJXQPAN-UHFFFAOYSA-N,10404,16526,18.57,18.66,0.09,369.22,369.22,2.69,1,1,1
BAFQDKPJKOLXFZ-UHFFFAOYSA-N,24794,39383,15.05,14.84,-0.21,248.03,248.03,-3.28,1,1,1
OSWPMRLSEDHDFF-UHFFFAOYSA-N,0,0,17.23,0,0,153.05,0,0,0,0,0
WLFDQEVORAMCIM-UHFFFAOYSA-N,0,0,17.2,0,0,259.01,0,0,1,0,0
WVQBLGZPHOPPFO-UHFFFAOYSA-N,92044,569662,19.11,19.18,0.07,284.14,284.14,0.41,1,1,1
VOEYXMAFNDNNED-UHFFFAOYSA-N,1939,9480,20.43,20.61,0.18,166.09,166.09,0.54,0,1,1
IUBSYMUCCVWXPE-UHFFFAOYSA-N,5185,9364,10.2,9.92,-0.28,268.19,268.19,-0.4,0,1,1
VGHPMIFEKOFHHQ-UHFFFAOYSA-N,0,0,16.04,0,0,418.01,0,0,1,0,0
DSRNRYQBBJQVCW-UHFFFAOYSA-N,0,0,14.67,0,0,229.07,0,0,1,0,0
AMSPWOYQQAWRRM-UHFFFAOYSA-N,424,674,20.79,20.99,0.20,409.06,409.06,0.98,1,1,1
FOXFZRUHNHCZPX-UHFFFAOYSA-N,0,0,15.73,0,0,215.1,0,0,1,0,0
MIWRSUQXSCLDNV-UHFFFAOYSA-N,0,0,14.24,0,0,200.09,0,0,1,0,0
AHBXXEZLRFCZSF-UHFFFAOYSA-N,0,0,12.7,0,0,185.1,0,0,1,0,0
BYBLEWFAAKGYCD-UHFFFAOYSA-N,41331,91577,13.87,13.59,-0.28,414.99,N/A,0,0,1,1
ORMHZBNNECIKOH-UHFFFAOYSA-N,208012,4935166,16.58,16.75,0.17,211.17,211.17,1.04,0,1,1
DEDOPGXGGQYYMW-UHFFFAOYSA-N,5277,8383,18.96,18.92,-0.04,188.11,188.11,1.74,1,1,1
KXGYBSNVFXBPNO-UHFFFAOYSA-N,29807,182406,19.68,19.8,0.12,240.11,240.12,0.66,1,1,1
LKJPSUCKSLORMF-UHFFFAOYSA-N,0,0,16.89,0,0,215.06,0,0,1,0,0
BMLIZLVNXIYGCK-UHFFFAOYSA-N,175264,1885178,14.97,15.14,0.17,199.06,199.06,1.8,1,1,1
HZJKXKUJVSEEFU-UHFFFAOYSA-N,8771,13932,17.99,18.17,0.18,289.12,289.12,4.05,1,1,1
HNXNKTMIVROLTK-UHFFFAOYSA-N,271702,1839809,19.8,19.91,0.11,200.2,200.2,1.41,1,1,1
JXTHEWSKYLZVJC-UHFFFAOYSA-N,0,0,15.3,0,0,292.1,0,0,1,0,0
WXZVAROIGSFCFJ-UHFFFAOYSA-N,66522,859394,18.65,18.65,0.00,272.16,272.16,0.71,0,1,1
CMWTZPSULFXXJA-VIFPVBQESA-N,0,0,16.7,0,0,231.1,0,0,0,0,0
CCGPUGMWYLICGL-UHFFFAOYSA-N,19873,127800,19.44,19.59,0.15,275.07,275.07,-0.75,0,1,1
CFRPSFYHXJZSBI-DHZHZOJOSA-N,39206,203137,20.25,20.37,0.12,271.1,271.1,-1.64,0,1,1
UMKANAFDOQQUKE-UHFFFAOYSA-N,0,0,19.31,0,0,346.11,0,0,1,0,0
VIKNJXKGJWUCNN-XGXHKTLJSA-N,89440,431693,16.91,16.84,-0.07,299.2,299.2,1.13,1,1,1
NVGOPFQZYCNLDU-UHFFFAOYSA-N,0,0,16.7,0,0,304.05,0,0,1,0,0
SAPGTCDSBGMXCD-UHFFFAOYSA-N,0,0,17.01,0,0,315.07,0,0,1,0,0
YBGZDTIWKVFICR-UHFFFAOYSA-N,0,0,19.6,0,0,291.2,0,0,0,0,0
OWDLFBLNMPCXSD-UHFFFAOYSA-N,0,0,16.53,0,0,282.09,0,0,1,0,0
UNAHYJYOSSSJHH-UHFFFAOYSA-N,0,0,18.57,0,0,347.1,0,0,1,0,0
CHNUNORXWHYHNE-UHFFFAOYSA-N,0,0,21.37,0,0,345.08,0,0,1,0,0
CTRLABGOLIVAIY-UHFFFAOYSA-N,0,0,14.06,0,0,253.1,0,0,1,0,0
DXGLGDHPHMLXJC-UHFFFAOYSA-N,70441,445530,19.47,19.56,0.09,229.09,229.09,0.54,1,1,1
PMCVMORKVPSKHZ-UHFFFAOYSA-N,0,0,17.51,0,0,247.02,0,0,1,0,0
OQMBBFQZGJFLBU-UHFFFAOYSA-N,0,0,18.67,0,0,362.04,0,0,1,0,0
RMOGWMIKYWRTKW-UONOGXRCSA-N,15687,24917,17.31,17.49,0.18,294.14,294.14,-2.25,1,1,1
WKBPZYKAUNRMKP-UHFFFAOYSA-N,44544,234890,19,19.01,0.01,284.07,284.07,2.12,1,1,1
OGYFATSSENRIKG-UHFFFAOYSA-N,5913,26314,20.38,20.58,0.20,329.14,329.14,0.71,1,1,1
CHIFOSRWCNZCFN-UHFFFAOYSA-N,0,0,21.59,0,0,282.14,0,0,1,0,0
VEQOALNAAJBPNY-UHFFFAOYSA-N,0,0,11.9,0,0,189.1,0,0,1,0,0
IDOWTHOLJBTAFI-UHFFFAOYSA-N,13862,22019,17.45,17.46,0.01,301.12,301.12,1.44,1,1,1
XAMUDJHXFNRLCY-UHFFFAOYSA-N,1317,2092,19.85,20,0.15,321.04,321.04,0.7,1,1,1
CXOFVDLJLONNDW-UHFFFAOYSA-N,23807,37818,15.03,14.9,-0.13,253.1,253.1,-1.07,1,1,1
YVPSNUIHHFTTRL-UHFFFAOYSA-N,15704,24944,17.51,17.49,-0.02,293.01,293.01,-0.56,1,1,1
XRQHTUDGPWMPKX-UHFFFAOYSA-N,38151,60598,16.04,16.01,-0.03,277.02,277.02,0.2,1,1,1
IOUNQDKNJZEDEP-UHFFFAOYSA-N,0,0,20.32,0,0,367.99,0,0,1,0,0
RGCLLPNLLBQHPF-HJWRWDBZSA-N,0,0,14.25,0,0,300.08,0,0,1,0,0
ATROHALUCMTWTB-WYMLVPIESA-N,2858,6438,20.25,20.22,-0.03,299.06,299.06,1.3,1,1,1
IBSNKSODLGJUMQ-SDNWHVSQSA-N,40256,125669,19.49,19.55,0.06,368.11,368.11,0.56,1,1,1
RZKYEQDPDZUERB-UHFFFAOYSA-N,0,0,21.14,0,0,231.1,0,0,0,0,0
HYAFETHFCAUJAY-UHFFFAOYSA-N,0,0,11.4,0,0,357.13,0,0,1,0,0
FIPWRIJSWJWJAI-UHFFFAOYSA-N,1065,2096,21.15,21.32,0.17,339.22,339.22,1.3,1,1,1
UNLYSVIDNRIVFJ-UHFFFAOYSA-N,20665,85232,20.59,20.79,0.20,354.13,354.13,0.81,1,1,1
TZBPRYIIJAJUOY-UHFFFAOYSA-N,98949,572156,21.31,21.47,0.16,334.13,334.14,0.48,1,1,1
OLXLPKQCGWYRFQ-UHFFFAOYSA-N,205208,2356809,16.58,16.75,0.17,211.17,211.17,1.04,1,1,1
OIGNJSKKLXVSLS-VWUMJDOOSA-N,0,0,13.78,0,0,361.2,0,0,0,0,0
XOFYZVNMUHMLCC-ZPOLXVRWSA-N,0,0,13.91,0,0,359.19,0,0,0,0,0
ORNBQBCIOKFOEO-QGVNFLHTSA-N,0,0,19.6,0,0,317.25,0,0,0,0,0
YLPGTOIOYRQOHV-UHFFFAOYSA-N,4044,36517,20.75,21.02,0.27,312.17,312.17,0.99,0,1,1
TVLSRXXIMLFWEO-UHFFFAOYSA-N,16518,26237,16.78,16.72,-0.06,376.04,376.04,0.07,1,1,1
QXJKBPAVAHBARF-BETUJISGSA-N,0,0,19.05,0,0,284.02,0,0,1,0,0
QYMMJNLHFKGANY-UHFFFAOYSA-N,0,0,20.89,0,0,372.94,0,0,1,0,0
ISEUFVQQFVOBCY-UHFFFAOYSA-N,0,0,12.38,0,0,226.17,0,0,1,0,0
AAEVYOVXGOFMJO-UHFFFAOYSA-N,22082,35075,15.7,15.71,0.01,242.14,242.14,-0.27,1,1,1
PHNUZKMIPFFYSO-UHFFFAOYSA-N,17496,75718,18.66,18.62,-0.04,256.03,256.03,0.61,1,1,1
MFOUDYKPLGXPGO-UHFFFAOYSA-N,239544,3688321,17.3,17.25,-0.05,212.08,212.08,1.48,1,1,1
LFULEKSKNZEWOE-UHFFFAOYSA-N,0,0,17.78,0,0,218.01,0,0,1,0,0
WJNRPILHGGKWCK-UHFFFAOYSA-N,48878,333465,17.87,17.82,-0.05,230.12,230.12,1.06,1,1,1
BZNDWPRGXNILMS-CLFYSBASSA-N,29107,107498,18.99,19.08,0.09,282.09,282.09,1,1,1,1
VXPLXMJHHKHSOA-UHFFFAOYSA-N,15277,48086,17.65,17.57,-0.08,180.1,180.1,0.1,1,1,1
STJLVHWMYQXCPB-UHFFFAOYSA-N,38245,220229,19.26,19.31,0.05,342.08,342.08,0.53,1,1,1
KZNDFYDURHAESM-UHFFFAOYSA-N,15662,119727,19.86,20,0.14,284.14,284.14,0.62,1,1,1
OLBCVFGFOZPWHH-UHFFFAOYSA-N,0,0,19.89,0,0,179.14,0,0,0,0,0
AQHHHDLHHXJYJD-UHFFFAOYSA-N,47893,129645,11.22,11.23,0.01,260.16,260.16,0.51,0,1,1
QELSKZZBTMNZEB-UHFFFAOYSA-N,0,0,16.47,0,0,181.09,0,0,0,0,0
PXWLVJLKJGVOKE-UHFFFAOYSA-N,26904,42734,16.05,16.04,-0.01,231.15,231.15,1.23,1,1,1
NQLVQOSNDJXLKG-UHFFFAOYSA-N,5842,32846,20.87,21.23,0.36,252.14,252.14,0.55,0,1,1
HHUQPWODPBDTLI-UHFFFAOYSA-N,47746,220897,18.15,18.16,0.01,312.07,312.07,-0.27,0,1,1
QHGVXILFMXYDRS-UHFFFAOYSA-N,1967,7329,19.87,20.01,0.14,361.05,361.05,1.3,1,1,1
HZRSNVGNWUDEFX-UHFFFAOYSA-N,10845,26899,20.07,20.25,0.18,388.11,388.11,-0.77,1,1,1
JOOMJVFZQRQWKR-UHFFFAOYSA-N,6048,15392,20.03,20.16,0.13,374.09,374.09,0.2,1,1,1
BGNQYGRXEXDAIQ-UHFFFAOYSA-N,0,0,17.68,0,0,415.1,0,0,1,0,0
FKERUJTUOYLBKB-UHFFFAOYSA-N,4901,13623,19.41,19.66,0.25,403.06,403.06,-0.47,0,1,1
ZUSHSDOEVHPTCU-UHFFFAOYSA-N,0,0,13.73,0,0,207.03,0,0,1,0,0
CXJSOEPQXUCJSA-UHFFFAOYSA-N,7442,11821,18.25,18.25,0.00,341.07,341.07,0.15,1,1,1
CKPCAYZTYMHQEX-JXAWBTAJSA-N,0,0,15.04,0,0,295.04,0,0,1,0,0
RRKHIAYNPVQKEF-UHFFFAOYSA-N,18419,104677,18.23,18.3,0.07,319.07,319.07,0.21,1,1,1
ZLIBICFPKPWGIZ-UHFFFAOYSA-N,0,0,16.64,0,0,200.12,0,0,1,0,0
ITKAIUGKVKDENI-UHFFFAOYSA-N,141822,827492,18.17,18.06,-0.11,378.19,378.19,1.28,1,1,1
QEGVVEOAVNHRAA-UHFFFAOYSA-N,0,0,17.28,0,0,327.02,0,0,1,0,0
XRJLAOUDSILTFT-UHFFFAOYSA-N,0,0,14.41,0,0,174.09,0,0,1,0,0
JYQUHIFYBATCCY-UHFFFAOYSA-N,7018,25076,19.74,19.91,0.17,299.06,299.06,0.89,1,1,1
OBLNWSCLAYSJJR-UHFFFAOYSA-N,0,0,15.67,0,0,208.02,0,0,1,0,0
WRPIRSINYZBGPK-UHFFFAOYSA-N,7982,78157,21.39,21.51,0.12,308,308,0.59,1,1,1
RUGYNGIMTAFTLP-UHFFFAOYSA-N,30427,102723,16.87,16.8,-0.07,213.11,213.11,-4.82,1,1,1
XFKVYXCRNATCOO-UHFFFAOYSA-M,168941,475179,13.94,13.56,-0.38,443.23,443.23,1.15,0,1,1
AFOZBVKCZXHDER-UHFFFAOYSA-N,0,0,15.25,0,0,325.1,0,0,1,0,0
YKUAHBLGZCTWPS-UHFFFAOYSA-N,0,0,13.29,0,0,368.1,0,0,1,0,0
NCDNCNXCDXHOMX-XGKFQTDJSA-N,0,0,18.33,0,0,721.32,0,0,1,0,0
MOOFYEJFXBSZGE-LQGKIZFRSA-N,0,0,13.51,0,0,334.06,0,0,1,0,0
RXZBMPWDPOLZGW-XMRMVWPWSA-N,0,0,12.39,0,0,837.53,0,0,1,0,0
NDAUXUAQIAJITI-UHFFFAOYSA-N,0,0,14.09,0,0,240.16,0,0,0,0,0
BZRUVKZGXNSXMB-UHFFFAOYSA-N,48878,333465,17.75,17.82,0.07,230.12,230.12,1.06,1,1,1
ZJMZZNVGNSWOOM-UHFFFAOYSA-N,0,0,12.47,0,0,226.17,0,0,1,0,0
MXMXHPPIGKYTAR-UHFFFAOYSA-N,45882,178038,19.37,19.46,0.09,268.12,268.12,0.69,1,1,1
ODCWYMIRDDJXKW-UHFFFAOYSA-N,216196,1856768,15.01,15.03,0.02,202.09,202.09,1.38,0,1,1
YABFPHSQTSFWQB-CQSZACIVSA-N,18467,97380,17.83,17.89,0.06,294.14,294.14,-4.43,1,1,1
YABFPHSQTSFWQB-AWEZNQCLSA-N,59196,568525,17.38,17.52,0.14,294.14,294.14,-4.74,1,1,1
MGLWZSOBALDPEK-UHFFFAOYSA-N,0,0,13.07,0,0,214.11,0,0,1,0,0
CLSVJBIHYWPGQY-GGYDESQDSA-N,0,0,17.49,0,0,374.2,0,0,0,0,0
HPQGJNTUXNUIDL-FCQANMBYSA-N,0,0,14.17,0,0,304.19,0,0,0,0,0
PUYXTUJWRLOUCW-UHFFFAOYSA-N,197119,1184929,12.8,12.53,-0.27,298.27,298.27,0.37,0,1,1
ZZORFUFYDOWNEF-UHFFFAOYSA-N,0,0,14.35,0,0,311.08,0,0,1,0,0
ASWVTGNCAZCNNR-UHFFFAOYSA-N,0,0,12.22,0,0,279.09,0,0,1,0,0
VACCAVUAMIDAGB-UHFFFAOYSA-N,22734,36111,11.95,11.89,-0.06,271.03,271.03,-1.09,1,1,1
VGKDLMBJGBXTGI-SJCJKPOMSA-N,0,0,13.45,0,0,254.06,0,0,1,0,0
GWBPFRGXNGPPMF-UHFFFAOYSA-N,0,0,15.34,0,0,336.06,0,0,1,0,0
OORLZFUTLGXMEF-UHFFFAOYSA-N,0,0,15.98,0,0,386.99,0,0,1,0,0
XIUROWKZWPIAIB-UHFFFAOYSA-N,0,0,20.13,0,0,323.03,0,0,1,0,0
NKANXQFJJICGDU-QPLCGJKRSA-N,70560,138503,14,13.68,-0.32,372.23,372.23,0.79,0,1,1
PXMNMQRDXWABCY-UHFFFAOYSA-N,50595,211358,18.51,18.53,0.02,308.15,308.15,0.45,1,1,1
QYPNKSZPJQQLRK-UHFFFAOYSA-N,6821,26697,19.21,19.14,-0.07,353.22,353.22,1.13,0,1,1
AWYOMXWDGWUJHS-UHFFFAOYSA-N,2129,5905,21.54,21.74,0.20,319.12,319.12,1,1,1,1
RJKCKKDSSSRYCB-UHFFFAOYSA-N,669553,5343821,19.09,19.16,0.07,234.19,234.19,0.79,1,1,1
HBPDKDSFLXWOAE-UHFFFAOYSA-N,0,0,14.26,0,0,229.11,0,0,1,0,0
IOYNQIMAUDJVEI-ZFNPBRLTSA-N,5085,8077,18.88,18.82,-0.06,342.15,342.14,-4.88,1,1,1
PHXHZCIAPNNPTQ-CKGNMCEGSA-N,0,0,18.53,0,0,342.15,0,0,1,0,0
PNRAZZZISDRWMV-UHFFFAOYSA-N,23762,219232,20.43,20.61,0.18,278.21,278.21,0.75,0,1,1
DWZSTEUTHNUVQD-UHFFFAOYSA-N,96072,653704,18.42,18.46,0.04,321.04,321.04,0.57,1,1,1
BCQMBFHBDZVHKU-UHFFFAOYSA-N,0,0,12.32,0,0,226.17,0,0,1,0,0
XWTYSIMOBUGWOL-UHFFFAOYSA-N,22642,78145,8.04,7.93,-0.11,226.14,226.14,1,0,1,1
FZXISNSWEXTPMF-UHFFFAOYSA-N,112476,582370,18.09,18.04,-0.05,230.12,230.12,0.92,1,1,1
LMKQNTMFZLAJDV-UHFFFAOYSA-N,571571,8462723,15.46,15.41,-0.05,202.09,202.09,0.85,0,1,1
IROINLKCQGIITA-UHFFFAOYSA-N,22082,35075,15.86,15.71,-0.15,242.14,242.14,-0.27,1,1,1
MOYAFQVGZZPNRA-UHFFFAOYSA-N,0,0,17.77,0,0,137.13,0,0,0,0,0
MUMGGOZAMZWBJJ-DYKIIFRCSA-N,0,0,16.89,0,0,289.22,0,0,0,0,0
UBCKGWBNUIFUST-YHYXMXQVSA-N,5725,9032,18.64,18.95,0.31,364.91,364.91,0.99,0,1,1
LQDARGUHUSPFNL-UHFFFAOYSA-N,34876,101460,18.18,18.13,-0.05,372.03,372.03,-0.41,1,1,1
KDWQYMVPYJGPHS-UHFFFAOYSA-N,11552,25596,19.02,19.08,0.06,324.08,N/A,0,1,1,1
HOKKPVIRMVDYPB-UVTDQMKNSA-N,0,0,14.38,0,0,253.03,0,0,1,0,0
YIJZJEYQBAAWRJ-UHFFFAOYSA-N,51285,219546,19.95,20.05,0.10,397.1,397.1,1.08,1,1,1
QHTQREMOGMZHJV-UHFFFAOYSA-N,0,0,20.48,0,0,258.07,0,0,1,0,0
XDOTVMNBCQVZKG-UHFFFAOYSA-N,0,0,15.12,0,0,355.06,0,0,1,0,0
FZSVSABTBYGOQH-XFFZJAGNSA-N,0,0,16.49,0,0,219.12,0,0,1,0,0
NLMRMVVMKCKWFL-YRNVUSSQSA-N,0,0,16.39,0,0,235.11,0,0,1,0,0
IRVDMKJLOCGUBJ-UHFFFAOYSA-N,182371,1857949,17.56,17.52,-0.04,249.05,249.05,0.68,1,1,1
OCINXEZVIIVXFU-UHFFFAOYSA-N,0,0,18.97,0,0,426.07,0,0,1,0,0
VBUNOIXRZNJNAD-UHFFFAOYSA-N,0,0,17.7,0,0,458.06,0,0,1,0,0
QWKYIPKCLAUFCM-UHFFFAOYSA-N,0,0,16.43,0,0,442.07,0,0,1,0,0
HYVWIQDYBVKITD-UHFFFAOYSA-N,0,0,20.17,0,0,346.99,0,0,1,0,0
DQFPEYARZIQXRM-LTGZKZEYSA-N,0,0,21.72,0,0,330.21,0,0,0,0,0
TVYLLZQTGLZFBW-UHFFFAOYSA-N,7149,11355,10.25,10.29,0.04,264.2,264.2,1.12,1,1,1
KJPRLNWUNMBNBZ-QPJJXVBHSA-N,0,0,18.55,0,0,133.06,0,0,0,0,0
WURBVZBTWMNKQT-UHFFFAOYSA-N,33810,163988,18.22,18.19,-0.03,294.1,294.1,1.01,1,1,1
BAZVSMNPJJMILC-STQMWFEESA-N,13518,21473,17.25,17.39,0.14,296.12,296.12,2.26,1,1,1
BAZVSMNPJJMILC-STQMWFEESA-N,13518,21473,17.48,17.39,-0.09,296.12,296.12,2.26,1,1,1
AMFGTOFWMRQMEM-UHFFFAOYSA-N,33852,151192,18.85,18.87,0.02,314.07,314.07,0.25,1,1,1
